Date, Type, Description, Category, Amount, Balance, Note
07-16-2025,"Priority Post Debit","Priority Post Debit","",-69500,56805.85,""
07-15-2025,"Deposit","EDWARD JONES INVESTMENT","",100000,126305.85,""
