1 !RootAccount
1.1 !Assets
1.1.1 Current
1.1.1.1 !Cash
1.1.1.2 !Checking
1.1.1.2.1 General
1.1.1.2.2 Relief
1.1.1.3 !Savings
1.1.1.4 !Investments
1.1.2 Fixed
1.1.3 Archived
1.2 !Equity
1.2.1 OpeningBalance
1.2.2 RetainedEarnings
1.3 !Expenses
1.3.1 Bank
1.3.2 Insurance
1.3.3 ProfessionalFees
1.3.4 Repairs
1.3.5 Taxes
1.3.6 Travel
1.3.7 Utilities
1.3.8 VFW
1.3.8.1 Fair
1.3.8.2 Carnival
1.4 !Income
1.4.1 VFW
1.4.1.1 Fair
1.4.1.2 Carnival
1.5 !Liabilities
