Date   Type  Description   Category  Amount  Balance   Note
02-19-2026  On-Us Check CK # 1012   -12500  2947.52 
02-18-2026  Priority Post Debit 3500 VSA PUR USPS PO 0133300651 GADSDEN AL    -58.5 15447.52  
02-11-2026  Deposit Deposit   12000 15506.02  
02-10-2026  Priority Post Debit 3500 VSA PUR VOIP.MS VOIP.MS TERREBONNE CA    -15 3506.02 
02-10-2026  Miscellaneous Charge  3500 CROSS BORDER FEE VOIP.MS VOIP.MS TERREBONNE CA   -0.15 3521.02 
01-30-2026  Deposit INTEREST PAID   0.25  3521.17 
01-20-2026  Deposit Deposit   1500  3520.92 
01-15-2026  On-Us Check CK # 1002   -101.09 2020.92 
01-14-2026  Priority Post Debit 3500 VSA PUR USPS PO 01333006 700 CH GADSDEN AL   -122  2122.01 
01-12-2026  Priority Post Debit 3500 VSA PUR OFFICE MAX OFFI 530 GEO GADSDEN AL   -150.35 2244.01 
01-07-2026  On-Us Check CK # 1001   -1728 2394.36 
01-07-2026  Deposit VETERANS OF WARS PAYMENT    24  4122.36 
